node,window,dio_tx_count,dio_rx_count,dao_tx_count,dao_rx_count,dis_tx_count,global_repair_count,local_repair_count,parent_switch_count,queue_flush_count,not_assoc_count,distinct_dio_versions_seen,poison_dio_recv_count,rank_last,dioint_last,nbrcount_last,rank_std,infinite_rank_count,tx_count,energy_used_sum,energy_rate_mj_per_s_mean,delivered_count,avg_latency_ms,is_attacker_node_GROUNDTRUTH,scenario,run_id
1,84,0,0,0,0,0,0,0,0,0,0,0,0,128.0,19.0,8.0,,0,0,,,0,,0,attack,s02
1,85,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
1,86,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
1,87,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,88,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,89,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,90,0,0,0,0,0,0,0,0,0,0,0,0,128.0,19.0,8.0,,0,0,,,0,,0,attack,s02
1,91,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,92,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,93,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,94,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
1,95,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,96,0,0,0,0,0,0,0,0,0,0,0,0,128.0,19.0,8.0,,0,0,,,0,,0,attack,s02
1,97,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
1,98,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,99,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,100,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,101,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
1,102,0,1,0,0,0,0,0,0,0,0,1,0,128.0,19.0,8.0,,0,0,,,0,,0,attack,s02
1,103,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
1,104,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,105,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,106,0,1,0,0,0,0,0,0,0,0,1,0,,,,,0,0,,,0,,0,attack,s02
1,107,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,108,0,0,0,0,0,0,0,0,0,0,0,0,128.0,20.0,8.0,,0,0,,,0,,0,attack,s02
1,109,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
1,110,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,0,,0,attack,s02
